esp	nah
cuidadoso	netlakuitlauini
humillación	netlalchitlasalistli
humillante	netlalchitlasoni
concepción	netlalilistli
legua	netlaloli
angustiar	netlamachia
angustiado	netlamachiliani
angustia	netlamachilistli
simulador	netlapikiani
obligación	netlatlalilistli
voto	netoli
indigencia	netolinistli
consultado	netolnotsali
profesión	netoltialistli
solana	netoniloyan
amparo	netontlilistli
pañuelo	netsomiloni
venganza	netsonkuilistli
ordenar	neuatia
tardanza	neuejkaualistli
viviente	neuemini
emparejar	neuiuilia
lejía	nexatl
derribado	nexetinili
avaro	nexikoli
envidia	nexikolistli
navaja	neximalistli
barbería	neximaloyan
lobos	nexkoyomej
nixtamal	nextamali
concreto	nextetl
gris	nextik
creatividad	nextilistli
mostrado	nextilo
diseño	nextiyotl
enemistad	neyaotlalistli
gimnasia	neyekochiualistli
atleta	neyekoni
hipocresía	neyektokilistli
conciencia	neyoliximachilistli
confesionario	neyolmelaualoni
considerado	neyolnonotsali
consultar	neyolnotsa
consulta	neyolnotsalistli
reconocer	neyolomaxi
reconocido	neyolomaxili
reconocimiento	neyolomaxilistli
arrepentimiento	neyoltekipacholistli
duda	neyoltsonalistli
voy	niau
hurtar	nichteki
tirano	nijikoltiani
tiranía	nijikoltilistli
porque	nik
aquí	nikan
nicaragüense	nikanauatl
nicaragüense	nikanauatlakatl
confirmado	nikchikauak
celebrar	nikitoa
comunión	niknoselistli
entrega	niktemaktli
cuanto	nikuiko
hola	niltse
este	nin
sentido	ninauitokak
acaudillar	nitemana
micrófono	nitlajtoaloni
mi	no-
además	no
grana	nochestli
todo	nochi
todos	nochintin
siempre	nochipan
todos	nochtin
tunar	nochtlan
tuna	nochtli
también	noijki
también	noiuan
además	noiuki
mientras	noka
siempre	nonchipa
esos	nonke
derramarse	nonoki
diálogo	nonotsalistli
nopal	nopali
noruego	norvegiatl
noruego	norveginekatl
comulgar	noselilia
o	noso
llamado	notsalo
conmigo	nouan
absoluto	nouanyotl
dondequiera	nouiampa
noviembre	noviembri
también	noyuki
o	o
avenida	ochpantli
vereda	ojpitsaktli
balcón	ojtlachialotl
otate	ojtlatl
peregrinación	ojtlatokalistli
peregrino	ojtlatokani
camino	ojtli
caminante	ojtokak
aún	ok
futuro	okachiuali
chivo	okichkuakuautensontli
viuda	okichmikki
jovencito	okichpiltsintli
cabrón	okichtensonpoli
chivo	okichtensontli
masculino	okichtik
varonil	okichtikautli
hombres	okichtin
soltera	okichtlanki
hombre	okichtli
proeza	okichyotl
vinatería	oknamakoyan
adelante	oknepan
pavilo	okoikpayolotl
linterna	okokalotl
piñón	okosenyolotli
pinar	okoyotl
otro	okse
otro	okseki
otros	oksekintin
vino	oktli
octubre	oktubri
virgen	okuelichpoktli
gusano	okuili
gusano	okuilin
barranca	okyatl
hule	oli
hule	olin
mover	olinia
máquina	olinki
emoción	olinyotl
baqueta	olmaitl
llanta	olmalakatl
redondo	ololtik
olote	olotl
omaní	omantekatl
dos	ome
martes	omeiluitl
doblar	omelia
bicicleta	omemalakatl
dieresis	ometliltetl
farsante	omeyolo
dudar	omeyoloa
huesero	omiketsani
carroñero	ominakatini
costilla	omisikuili
hueso	omitl
nardo	omixochitl
allá	ompa
cuarenta	ompoali
cincuenta	ompoalomatlaktli
beber	oni
ahí	onkan
tabasqueño	onoualkatl
tabasqueño	onoualtekatl
sitio	onouayan
acompañante	ontekauani
sobrenombre	ontetokaitl
segundo	onto
mil	ontsonmatlakpoali
ochocientos	ontsontli
crecimiento	onyalistli
jaguares	ooselo
según	opan
zurdo	opochmimatki
izquierda	opochtli
oceanía	oseania
bravo	oselo
cebra	oselokauayotl
bravos	oselomej
jaguar	oselotl
valentía	oseloyotl
gorila	osomatl
mono	osomatli
sagrario	ostiakali
minero	ostotakani
cueva	ostotl
cavernoso	ostotla
mineral	ostoyotl
digerido	otemok
migración	otlakalistli
otomí	otomitl
mandarino	otonlalaxkuauitl
mandarina	otonlalaxtli
retorcido	otsilik
encinta	otstli
guacal	ouakali
peligro	ouilistli
desastre	ouitepanyalistli
desgranado	oyali
pe	p
pintar	pa
pasear	pachialoa
golpear	pachilia
chupar	pachisijina
arrugado	pachisijini
sumirse	pachiui
desnivel	pachiuitl
sumido	pachiutli
pequeño	pachtik
correr	paina
mercurio	painaltli
atleta	painalton
herbolario	paiximatki
herbolario	paiximatkiyotl
salud	pakayelistli
felicidad	pakiliskayotl
felicitación	pakilistli
feliz	pakini
pakistaní	pakistanekatl
pakistán	pakistania
pakistaní	pakistaniatl
psicología	pakkayematilistli
psicólogo	pakkayematini
contento	pakki
gustar	paktia
pacifico	paktinemi
vigor	paktinemilistli
alegría	paktli
papalote	palalotli
fétido	palanki
herida	palaxtli
palestino	palestinekatl
palestina	palestinia
palestino	palestiniatl
ayudar	paleuia
pintura	pali
hospedar	palkoui
serpentina	palmekatl
gustar	paloa
alfombra	palpetlatl
reciente	paltik
tamarindo	palxokotl
paliacate	palyakatl
banderín	pamitl
abanderado	pamitlani
para	pampa
panamá	panama
farmacéutico	panamakak
panameño	panamatl
descubierto	panitlasatl
bandera	panketsali
cruzar	pano
penacho	pantekatl
alieneación	pantilistli
abanderado	pantlani
abanderar	pantlania
abanderamiento	pantlanilistli
pan	pantsin
deshilado	papachtli
felizmente	papakilistika
relamido	papaloni
mariposa	papalotl
papalote	papalotli
aletear	papantlaka
enmarañar	papasoloa
farmacéutico	papiani
paraguay	parauaria
paraguayo	parauariatl
paraguayo	parauatekatl
paris	parisi
enmarañar	pasoloa
enmarañado	pasoltik
herrar	patilia
sanidad	patilistli
costo	patioyotl
valor	patiyotl
valer	patiyoua
cambiar	patla
aplastarse	patlachiua
plano	patlachtik
treque	patlali
volador	patlani
vuelo	patlanilistli
amplio	patlauak
ensanchado	patlautli
medicina	patli
dado	patoli
albur	patolsasanili
tablero	patoluapali
blando	patsik
exprimir	patska
aplastar	patsmiki
apretar	patsoa
magullado	patstik
librillo	patstli
ceñidor	paxatl
desechar	payanka
desecho	payanki
químico	payelisyo
químico	payelisyomitili
química	payelisyotl
humillarse	pechtika
calentador	pepechtotoniloni
levantar	pepena
recogido	pepenali
levantamiento	pepenalistli
recogedor	pepenaloni
pepenador	pepenani
petates	pepetla
centella	pepetlakatl
relumbrar	pepeyoka
relumbrado	pepeyokak
ataque	petlachiuilistli
atacar	petlachiuki
caja	petlakali
cromado	petlaktik
cromar	petlakui
petatearse	petlamiki
carpeta	petlasoli
ciempiés	petlasolkoatl
petate	petlatl
destapado	petlauak
destapador	petlaualoni
bruñido	petsoli
brillante	petstik
comienzo	peualistli
pionero	peuani
guardarse	pia
presente	piali
tisis	piasketsalistli
inventar	piki
macizo	pikki
infante	pilatl
arrugarse	piliui
colgar	piloa
colgaje	piloli
distinguido	piltekatl
nobleza	piltikayotl
niño	piltontli
hijos	piluan
engendrar	piluatia
alumbramieto	piluatiyotl
acrecentar	piluilia
pimería	pimapan
pinacate	pinakatl
avergonzar	pinaua
avergonzado	pinauali
vergüenza	pinaualistli
vergonzoso	pinauani
pollos	piomej
nobles	pipil
cubierta	pipilkali
nobles	pipiltin
niños	pipiltoton
bramar	pipitska
chillador	pipitski
bramido	pipitskitl
helicóptero	pipiyolkali
tatarabuela	piptontli
devastado	pisili
devastar	pisiloa
devastación	pisiltilistli
devastado	pisiltli
recolectar	piskani
delgado	pitsaktik
pito	pitsali
delgado	pitsauak
lenteja	pitsauasetl
cintura	pitsauautli
delicadeza	pitsauayotl
lechón	pitsokonetl
piara	pitsopankali
cosechar	pixka
cosecha	pixkalistli
cosechador	pixkalteki
guardián	pixki
cosecha	pixkitl
administrar	pixkua
abrir	poa
cardado	pochinki
roble	pochotl
comerciante	pochtekatl
comercio	pochtli
humo	poktli
humeante	pokyo
aliento	pokyotl
grueso	pol-
grueso	poli
desaparición	poliuilistli
desaparecido	poliuini
pulque	poloki
señalado	pololisnetsayotili
perdón	pololokayotl
polonia	polonia
polaco	polontekatl
polaco	polontlakatl
polaco	polotl
ponche	pontsin
incensario	popochkaxitl
aromatizante	popochtli
humeante	popokak
chimenea	popokalkisani
asfixiarse	popokmiki
pipa	popokuaukomitl
despoblado	popoliuki
champaña	popotsoktli
criticar	popoua
criterio	popouayotl
barbechar	popoxoa
glotonería	posatilistli
glotón	posatini
inflamar	posaua
inflamación	posauatl
inflamado	posautik
quebradizo	posteki
quebrarse	posteki
quebrado	postektli
derramar	potlania
heder	potoni
apeste	potonilistli
apestoso	potoniyo
potosino	potositekatl
potosino	potositl
acumular	potsoa
pozole	potsolatl
espuma	potsonali
ebullición	potsonilistli
cuenta	pouali
tribunal	poualtlajtoyan
calculadora	poualuastli
milenio	poualxiutilistli
administrador	pouani
contador	pouki
lila	poxtik
barriga	poxtli
salado	poyek
terciopelo	puchinchi
qui	q
rri	r
radiotelescopio	rradioiluikali
radio	rradiotl
potro	rrejotl
rinoceronte	rrinoserontli
riojano	rrioxanekatl
riojano	rrioxatl
roma	rroma
rumano	rromanekatl
rumania	rromania
rumano	rromaniatl
rwandés	rrouandatl
rwanda	rrouandia
rwandés	rrouantekatl
rusia	rruxia
si	s
zi	s
acarrear	saka
aridoamérica	sakachichimekapan
acarreo	sakalistli
forrajero	sakamiyotl
mogote	sakamoli
cargador	sakani
segador	sakapik
segadora	sakapiloni
zacatecano	sakatekatl
paja	sakatl
meseta	sakatlan
teporingo	sakatochin
sarnoso	sakauatini
zacahuil	sakauili
mediano	sakuali
añadirse	saliui
coyuntura	saliuyantli
dilatado	samauki
solo	san
zambia	sanbia
zambiano	sanbiatekatl
zambiano	sanbiatl
vago	sanemini
solamente	sanitsinka
solamente	saniyo
moderado	sankexkin
abortado	sanoli
santa	santa
finalmente	santepan
santiago	santiago
mediano	santleko
santo	santo
foráneo	sanuitstli
mismo	sanyeno
brebaje	sasaltik
resignar	sasamaua
pálido	sasamauak
chiste	sasamijtoak
cascabel	sasanakali
tráquea	sasanaktli
relato	sasanili
adivinanza	sasanilistli
mitología	sasanilyotl
definitivamente	satepan
finalmente	satlatsonko
telaraña	sauali
sarnoso	sauatik
grano	sauatl
contrato	sayanalistli
un	se
voluntad	sealistli
pliego	seamatl
hebra	seikpatl
lunes	seiluitl
algún	seki
unos	seki
algunas	sekimej
cierto	sekintin
juntos	sekkan
particular	seknikiski
refrigerio	sekotlasalistli
septiembre	sektiembri
enfriamiento	sekuilistli
solo	sel
selchelles	selcheyiaj
inmaduro	selik
chilacayote	selikayotli
esencia	selistli
celta	seltatl
celta	seltekatl
tierno	seltik
vocal	seltikakistli
ternura	seltikayotl
celta	seltlakatl
península	semakoltlalpan
acaparar	semana
comercio	semanaktli
acaparado	semanali
acaparamiento	semanalistli
acaparador	semanani
universo	semanauak
geografía	semanauaktilistli
física	semanauatilistli
físico	semanauatini
mundo	semanauatl
sencillo	semani
sencillamente	semanilistika
sencillez	semanilistli
semana	semaniluitl
sencillamente	semanka
eterno	semankakyeni
eternidad	semankayotl
conformar	semati
conformidad	sematilistli
unidad	semaxkayotl
agradable	semele
duradero	semiak
perdurable	semikak
helado	semikki
tarea	semiluitekitl
político	semitki
política	semitkimatilistli
cucharada	semixkoli
racimo	semocholi
mazorca	semolotl
superar	sempanauia
renglón	sempantli
zempoala	sempoalan
veinte	sempoali
treinta	sempoalomatlaktli
cempasúchuil	sempoalxochitl
multiplicar	sempoua
múltiplo	sempouali
veinte	sempouali
multiplicación	sempoualistli
tierra	semtlaltikpak
internet	semtlaltikpamatlatl
terrestre	semtlaltikpatl
completo	sen
senegal	senegalia
senegalés	senegaltekatl
senegalés	senegatl
trago	senekomonili
termino	senetlaloli
atletismo	senetlalolistli
meridiano	seniktlalpan
muy	senka
bocado	senkamatl
raro	senkamochiuak
disponer	senkaua
enteramente	senkiska
entero	senkistli
silo	senkolotl
escarmentar	senmixnauatia
escarmiento	senmixnauatilistli
coro	senseknitla
res	sentekuakuaue
completamente	sentetika
absoluto	sentetl
completo	sentetl
unión	sentilistli
gotera	sentlachipintli
bloque	sentlakotontli
copla	sentlakxitl
fantasma	sentlalpachtontli
yunta	sentlamantiki
articulo	sentlamantli
manada	sentlamatin
rebaño	sentlamayolkatl
consumir	sentlamia
consumido	sentlamiali
consumo	sentlamialistli
pedrada	sentlamotetl
fondo	sentlani
eje	sentlasotl
sorbo	sentlatektli
paso	sentlaxitl
profundidad	sentlinayotl
innumerable	sentson-
constelación	sentsonuitsauak
pieza	sentsotl
omnipotencia	senualistli
aniversario	senuauetilistli
familiaridad	senyeliskayotl
familia	senyelistli
familiar	senyelo
piñón	senyolotli
nuez	senyoyotl
unido	sepanka
unir	sepanka
estrofa	sepantlakuikali
nieve	sepayali
heladera	sepayaloni
nevar	sepayaui
nieve	sepayauitl
nevada	sepayautli
frío	sesek
refrigerador	sesekali
friolento	sesekmikini
coro	seseknitla
refrigerar	sesekotlasa
refrigeración	sesekotlasalistli
refrigerador	sesekotlasaloni
iceberg	sesekpan
tundra	sesektlan
enfriar	seselia
fresco	seselik
enfriamiento	seselistli
diario	sesemiluitika
señalado	sesemotli
cada	sesen
genero	sesentlamantli
espantar	sesepakatikisa
espanto	sesepakatikisalistli
riguroso	sesepaktik
espantoso	sesepatik
calmado	seseuilo
enfriarse	seseya
seboso	seseyo
adicionar	setilia
unidad	setilistli
hielo	setl
líquido	setlachipinili
sombra	seualotl
helar	seuetsi
edad	seueuetilistli
apagar	seui
descanso	seuilistli
entelerido	seuilok
helada	seuitsitli
sevilla	sevilan
ano	sexiuitl
tuétano	seyotl
cansado	siamikki
cansado	siammikki
sopa	siauali
sopear	siauaya
cansar	siaui
cansado	siauik
cansancio	siauistli
abuela	sijtli
caracol	sili
caracol	silin
zimbawe	sinbaue
singapur	singapuria
labio	sipetl
siria	siria
sirio	siriatekatl
sirio	siriatl
circo	sirko
estrella	sitlali
estrella	sitlalin
astrólogo	sitlalmatini
cometa	sitlalmina
aerolito	sitlalminatetl
estrellado	sitlalo
galaxia	sitlalpopokak
zitlaltepec	sitlaltepek
astronauta	sitlalteposakalteyakanki
astrología	sitlaltlamatilistli
planeta	sitlaltsitsimitl
perra	siuachichi
amiga	siuaikniutli
bisnieta	siuaikutontli
perra	siuaitskuintli
prima	siuaixoyutli
mujeres	siuaj
zapatilla	siuakaktli
vecina	siuakalpolpoui
yegua	siuakauayotl
hijas	siuakokone
ahijada	siuakomkonetl
condesa	siuakonde
hija	siuakonetl
sobrina	siuamachtli
pantaleta	siuamaxtli
viudo	siuamikki
nuera	siuamontli
bruja	siuanauali
corsé	siuanelpiloli
maestra	siuanemachtiani
muñeca	siuanenetl
lesbiana	siuaokichtik
lesbianismo	siuaokichyotl
reina	siuapilajtokatsintli
doncella	siuapili
doncellas	siuapiltin
guerrerense	siuatekatl
osa	siuatekuanotl
maestra	siuatemachtiani
monja	siuateopixki
diosa	siuateotl
criada	siuatetlanamiuki
femenino	siuatik
ginecólogo	siuatisitl
mujer	siuatl
gitana	siuatlachixki
concubinas	siuatlaixnamike
reina	siuatlajtoani
dama	siuatlakatsintli
soltero	siuatlanki
maja	siuatlatsiuki
niña	siuatontli
guajolota	siuatotoli
niñas	siuatoton
suegra	siuauexiutli
prostituta	siuauiani
muñeca	siuaxolotl
santa	siuayektli
mujeriego	siuayo
feminidad	siuayotl
axila	siyakatl
cansar	siyaui
lodo	sokitl
enlodar	sokiuia
enlodado	sokiuili
enlodado	sokiyo
hondureño	solatl
envejecer	soloa
envejecido	solotik
hondureño	soltekatl
gastado	soltik
basurero	solyokan
ensañar	soma
coraje	somali
somalia	somalia
somalí	somaliatl
somalí	somaltekatl
bofo	sonetik
astillar	soneui
astilla	soneuili
zumbido	sosolokalistli
inmundicia	sotl
zotol	sotolin
dátil	soyakapolin
palma	soyatl
palmar	soyatlan
sudán	sudania
sudanés	sudaniatl
sudanés	sudantekatl
surinam	surinamia
ti	t
tailandés	tailandatl
tailandia	tailandia
tailandés	tailantekatl
taiwanés	taiuantekatl
padre	tajtli
papá	tajtsin
tamaulipas	tamajolipan
tamaulipeco	tamajolipanekatl
tamaulipeco	tamajolipatl
tamal	tamali
sapo	tamasoli
sapo	tamasolin
acampanado	tanatik
tanzano	tansanekatl
tanzania	tansania
tanzano	tansaniatl
taoísmo	taoyotl
arroparse	tapachkentia
enmarañar	tapasoloa
pañoso	tapauak
esfera	tapayoltik
camilla	tapechtli
tayikistán	tayikistania
éxito	teaasistli
tormento	teamanalistli
don	teaxkatili
desmenuzado	teayayanoli
esperado	techiali
espera	techialistli
venta	techiankali
gasolina	techiauakatlatiloli
petróleo	techiauakayotl
esperanza	techiayotl
alcohol	techichik
seísmo	techikuasentekak
alcohólico	techiuikki
participante	techmotlaliani
apropiarse	techtia
privilegiado	teiknelili
privilegio	teiknelilistli
privilegio	teikneliloni
sociabilidad	teikniuyotl
clemencia	teiknoittalistli
piadoso	teiknoittani
empobrecido	teiknotilili
empobrecimiento	teiknotililistli
misericordia	teiknottalistli
bienechor	teiktliani
cárcel	teilpiloyan
encarcelamiento	teilpiloyatilistli
encarcelado	teilpiloyatli
reclamar	teiluia
reclamado	teiluili
reclamo	teiluilistli
escandaloso	teisautli
terrible	teisouik
temor	teitsautilistli
elección	teixkisalistli
engañosamente	teixkuepalistika
falsificación	teixkuepalistli
falsedad	teixkuepayotl
ingrediente	teixnakimikili
resistente	teixnamikini
despedido	teixnauatilili
despedida	teixnauatilistli
delantatero	teixpak
proponer	teixpantilia
oftalmólogo	teixpatini
cerveza	teixuinotl
tú	tej-
huarache	tekaktli
ermita	tekaltontli
burlón	tekamauitl
persona	tekatl
sobrepasar	tekaua
engaño	tekelolistli
engaño	tekilolistli
encomendado	tekimaktli
preocuparse	tekipachoa
semanero	tekipani
mantener	tekipanoa
mantenido	tekipanoli
oficio	tekipanolistli
duro	tekiski
trabajador	tekitini
autoridad	tekiuak
autoridades	tekiuake
salitre	tekixkitl
salitroso	tekixkiyo
desempleado	tekixtili
desempleo	tekixtilistli
sirvienta	tekiyo
economista	tekiyotiani
negocio	tekiyotl
homicida	tekmiktiani
tabano	tekmilotl
tecnológico	teknoloyo
hospedado	tekochitilili
adormecimiento	tekochtekalistli
adormecido	tekochtektli
arrollado	tekochtlali
sepulcro	tekochtli
dueños	tekojtin
lesión	tekokolistli
tamborcito	tekomalpili
percusión	tekomatl
exitado	tekomoni
pellizco	tekotonalistli
bramar	tekoyoa
aullido	tekoyolistli
juzgado	tekpan
ordenar	tekpana
dominante	tekpani
dominar	tekpania
dominado	tekpanili
xílex	tekpatl
hidalgo	tekpili
cortesía	tekpiltikayotl
caracola	teksispitsali
patear	tektelisa
postre	tekuakualistli
baboso	tekualakkisani
mounstro	tekualnesi
santificado	tekualtilili
osezno	tekuanokonetl
bautisterio	tekuatekiloyan
mutilado	tekuatetsonkatli
aguamiel	tekuatl
fiereza	tekuayotl
acosado	tekuekuechmiktoani
envolver	tekuia
estatua	tekuikuili
homosexual	tekuiloni
enriquecedor	tekuiltononi
sello	tekuiluastli
cornada	tekukuauilistli
cofradía	tekuteokayotl
cardenal	tekuteopixki
diputado	tekutlajto
diputación	tekutlajtolistli
señor	tekutli
dignidad	tekuyotl
pero	tel
detestar	telchiua
embarazada	teleltilistik
embarazo	teleltilistli
parar	telketsa
parado	telketsaki
parado	telketsali
esófago	telkoyonkatl
lagrimal	telkuichili
redaño	telmatl
aro	telolotl
bodoque	telolotli
universidad	telpochkali
preparatoria	telpochpan
jovenes	telpochtin
joven	telpochtli
jovenes	telpokamej
joven	telpokatl
juventud	telpokayotl
confiar	temachi
confiarse	temachia
maestro	temachtiani
mestros	temachtianimej
doctrina	temachtili
escuela	temachtiloyan
concreto	temachtli
confianza	temachtli
confianza	temachyotl
dar	temaka
dador	temakak
liberador	temakixti
redentor	temakixtiani
traidor	temaktekauani
delatar	temaktia
delatado	temaktili
donación	temaktilistli
entregado	temaktli
rueda	temalakatl
camioneta	temalakaxitl
honda	temalatl
supuración	temalatli
absceso	temalotl
terrible	temamaiutini
escalera	temamalatl
banqueta	temamatli
terrible	temamauti
terrible	temamautik
terrorista	temamautini
temeroso	temamautli
defendido	temanauili
telecomunicación	temasilmatilistli
temascal	tematskali
terapia	tematstisiyotl
divorciado	tematumali
contaminado	temauali
contaminante	temauani
deshonrado	temauispololi
deshonra	temauispololistli
enloquecimiento	temauitilistli
honrado	temauitsotili
honra	temauitsotl
contaminado	temauki
contagio	temautilistli
susto	temautilistli
enloquecido	temautli
atestiguado	temelauani
soñar	temiki
homicida	temiktiani
asesino	temiktiloni
rastro	temiktlan
venenoso	temiktli
hermano	temini
cartucho	temitl
caer	temo
pendiente	temoayan
mortero	temokaxitl
descargar	temolia
descendimiento	temolistli
embarazada	temosiuilistli
desarrolllo	temoskalistli
concurrencia	temouatl
descender	temouia
beso	tempitsolistli
gemir	tena
otólogo	tenakaspatini
ensordecido	tenakatstilili
gemido	tenalistli
atributo	tenamaktli
besar	tenamiki
encontrado	tenamiki
encuentro	tenamikilistli
topado	tenamikki
muralla	tenamitl
contestador	tenankiliani
respondido	tenankilili
respuesta	tenankilistli
talud	tenantli
filoso	tenatkitl
abrazo	tenauatekilistli
licenciado	tenauatilili
defensa	tenauatilistli
desafío	tenaukauilistli
deshilar	tenchaya
deshilado	tenchayatli
deshilado	tenchayauak
hocico	tenchimali
dadivoso	tenemaktiani
argamasa	tenesokitl
desayunar	tenisa
desayuno	tenisalistli
almuerzo	tenisaloni
afilado	tenitstik
tenis	tenix
tenis	tenixlistli
relieve	tenkauali
lleno	tenki
saliva	tenkualaktli
veneno	tenkualaktli
jefe	tenkutli
real	tenkuyotl
tenochca	tenochkatl
disciplina	tenonotialistli
relacionado	tenonotsali
oración	tenonotsalistli
relator	tenonotsani
desenfrenar	tentlauelia
desenfrenado	tentlauelilok
amontonado	tentok
amontonar	tentoka
confundir	tentsakua
confusión	tentsakualistli
confuso	tentsakuani
barbado	tentsonyo
vuelto	tentsouki
fama	tenyilistli
famoso	tenyo
famoso	tenyotekatl
fama	tenyotl
biblia	teoamoxtli
santiguar	teochiua
domingo	teoiluitl
templo	teokali
capilla	teokalkuitlapili
sacristán	teokalpixki
elefantitis	teokokolistli
rosario	teokuaumekatl
alabanza	teokuikatl
oropel	teokuitlamatl
atesorar	teokuitlapia
tesoro	teokuitlapiali
tesorería	teokuitlapiayotl
joyería	teokuitlapitskali
tesorero	teokuitlapixki
evangelizar	teomachtia
evangelio	teomachtilistli
ahijado	teopankixtipili
ermita	teopantli
monasterio	teopixkali
sacerdotes	teopixke
padre	teopixki
papa	teopixtlajtoani
ungido	teosali
teocintle	teosentli
comadre	teotenantli
compadre	teotetajtli
energía	teotilistli
teotihuacano	teotiuakatl
consagrar	teotiya
dios	teotl
oración	teotlajtoli
tarde	teotlak
sacristán	teotlakipixki
tarde	teotlaktli
tardío	teotlakuili
tardío	teotlakyo
fanático	teotlalnoteki
idolo	teotontli
turquesa	teoxiuitl
sagrado	teoyojtika
dios	teoyokoyani
madrina	teoyonantli
padrino	teoyotajtli
divinidad	teoyotl
gobernación	tepacholisyotl
aplastar	tepachoua
agradable	tepak
favor	tepaleuilistli
alfarero	tepalkatekatl
bastardo	tepalkonetl
vestigio	tepaltlajtoli
arqueólogía	tepaltlajtomatilistli
arqueólogo	tepaltlajtomatini
pared	tepamitl
vecindad	tepanamikilistli
victoria	tepanaualistli
victorioso	tepanauani
vencedor	tepanaui
vencido	tepanauili
corral	tepanchinamitl
dominar	tepani
tabique	tepanpitsauak
asistente	tepantilo
abogado	tepantlajtoani
elevador	tepantlakok
desastroso	tepanyalo
lamedor	tepapaloani
lamida	tepapaloani
lamedura	tepapalolistli
curandero	tepatiani
curanderos	tepatike
curandero	tepatiki
sanado	tepatili
herrante	tepatiliani
herrado	tepatilili
tepache	tepatsin
vencedor	tepauaniani
verbena	tepechin
calzada	tepektli
favor	tepeleuilistli
cerros	tepemej
robalo	tepemichin
alpinismo	tepetilistli
montañés	tepetlakatl
serrano	tepetlakayo
sierra	tepetlan
tepetate	tepetlatl
valle	tepetsalan
duranguense	tepeuakatl
conquistador	tepeuani
duranguense	tepeuatekatl
desbarrancar	tepexiuia
desbarrancado	tepexiuik
alpino	tepeyo
microscopio	tepitonmachioli
humillarse	tepitonoa
chiquito	tepitsin
ladera	tepixtlan
espermatozoide	tepokatsintli
eyaculado	tepolatilili
pene	tepoli
condón	tepolpopolochtli
submarino	teposakamitl
plancha	teposamatl
caldera	teposapastli
cañón	teposapiluamina
eslabón	teposchikoli
herrero	teposchiuki
jeringa	teposchiupatli
pesa	teposetili
lima	teposichikoni
tren	teposkalmimiloli
coche	teposkalnejnenki
platillos	teposkaxpechtli
botes	teposkaxtin
trompeta	teposkikistli
anzuelo	teposkololi
corneta	teposkuakuauitl
sacacorchos	teposkuaunektli
robot	teposkuayolotl
robótica	teposkuayoloyotl
sincel	teposkuiloni
enrejado	teposmachantli
espadachín	teposmakuauchiuki
espada	teposmakuauitl
esgrima	teposmakuautilistli
metro	teposmalakakaltetl
carcacha	teposmalakasoli
auto	teposmalakatl
aparcamiento	teposmalakatlalyokan
cochera	teposmalakauayan
alambre	teposmekatl
proyectil	teposmitl
barandal	teposojtli
punzón	teposomitl
avión	tepospatlanki
batidora	tepospatskaloni
herrería	tepospitsauayan
pistola	teposteixiumitl
puñal	teposteixmitl
triturador	teposteki
daga	tepostemaixiliuani
cuchillada	teposteuitekili
mecánico	tepostiani
pasado	tepostik
bala	tepostlachtli
espátula	tepostlakoloni
atril	tepostlakoni
varilla	tepostlakotl
impresor	tepostlakuilo
imprimir	tepostlakuiloa
impresión	tepostlakuilolistli
metralla	tepostlakuimitl
tenazas	tepostlaloni
parrilla	tepostlapechtlatsaloni
campanario	tepostlapilkoyan
saxofón	tepostlapitsali
abrelatas	tepostlapoani
candado	tepostlasakualoni
chatarra	tepostlasoli
martillo	tepostlateuiloni
herramienta	tepostlatkitl
dedal	tepostlatsomaloni
yunque	tepostlatsonaloni
ballesta	tepostlauilistli
aballestar	tepostlauitoloa
estufa	tepostlekuili
metal	tepostli
avioneta	tepostotontli
avión	tepostototl
curva	tepostsotik
espuela	teposuitstli
tijeras	teposximani
granada	teposxiuki
cacerola	teposxoktli
motor	teposyolotl
jorobado	tepotsotli
tepojal	tepoxali
posada	teseliloyan
diabólico	teselo
demonio	teselotl
plazo	tesentlayekoltilistli
aliviado	teseuili
alivio	teseuilistli
moler	tesi
fatigado	tesiautli
alojador	tesiliani
hospedado	tesilili
albergue	tesililoyan
alojamiento	tesilistli
quejido	tesiuitilistli
espejo	teskatl
flebotomía	tesokistli
yeso	tesokitl
lanceta	tesouani
padres	tetajnantli
piedras	tete
proximidad	tetech
comprometer	tetechninokaua
compromiso	tetechtlakaualistli
comprometido	tetechtlakautli
prometido	tetechtoli
acusante	teteixpauiani
latido	tetekuikalistli
muros	tetenami
dioses	teteo
santiguado	teteochiuali
piedra	tetl
desengañado	tetlaixtlatilili
desengaño	tetlaixtlatilistli
obediencia	tetlakamatilistli
obediente	tetlakamatini
trazo	tetlamachiualistli
administrador	tetlamamakani
administrativo	tetlamamakili
administración	tetlamamakilistli
exámen	tetlamolistli
examinado	tetlamotili
mozo	tetlanamiuki
prestador	tetlaneutiani
prestado	tetlaneutili
prestamo	tetlaneutilistli
pregunta	tetlanilistli
alcahuete	tetlanochili
doloroso	tetlaokoktli
dispersión	tetlaokolistli
preferido	tetlapalnauili
vistar	tetlapaloa
visitante	tetlapaloani
salutación	tetlapololistli
escandaloso	tetlapololtili
escandalo	tetlapololtilistli
equivocado	tetlapolotili
equivocación	tetlapolotilistli
perdón	tetlapopoluilistli
reconciliado	tetlaseseuili
reconciliación	tetlaseseuilistli
juicio	tetlasontekilistli
juicio	tetlasontekistli
caridad	tetlasotlalistli
palmada	tetlatsinilistli
salpicado	tetlatsinkuinili
